agency_cd,site_no,datetime,tz_cd,140443_00060,140443_00060_cd,140444_00065,140444_00065_cd
USGS,08074500,2017-08-23 21:30,CDT,55.5,P,7.98,P
USGS,08074500,2017-08-23 21:45,CDT,54.8,P,7.97,P
USGS,08074500,2017-08-23 22:00,CDT,55.5,P,7.98,P
USGS,08074500,2017-08-23 22:15,CDT,54.1,P,7.96,P
USGS,08074500,2017-08-23 22:30,CDT,53.4,P,7.95,P
USGS,08074500,2017-08-23 22:45,CDT,52.7,P,7.94,P
USGS,08074500,2017-08-23 23:00,CDT,52.7,P,7.94,P
USGS,08074500,2017-08-23 23:15,CDT,53.4,P,7.95,P
USGS,08074500,2017-08-23 23:30,CDT,53.4,P,7.95,P
USGS,08074500,2017-08-23 23:45,CDT,52.7,P,7.94,P
USGS,08074500,2017-08-24 00:00,CDT,52.0,P,7.93,P
USGS,08074500,2017-08-24 00:15,CDT,52.7,P,7.94,P
USGS,08074500,2017-08-24 00:30,CDT,52.0,P,7.93,P
USGS,08074500,2017-08-24 00:45,CDT,52.0,P,7.93,P
USGS,08074500,2017-08-24 01:00,CDT,52.0,P,7.93,P
USGS,08074500,2017-08-24 01:15,CDT,54.1,P,7.96,P
USGS,08074500,2017-08-24 01:30,CDT,53.4,P,7.95,P
USGS,08074500,2017-08-24 01:45,CDT,50.7,P,7.91,P
USGS,08074500,2017-08-24 02:00,CDT,52.7,P,7.94,P
USGS,08074500,2017-08-24 02:15,CDT,50.7,P,7.91,P
USGS,08074500,2017-08-24 02:30,CDT,51.4,P,7.92,P
USGS,08074500,2017-08-24 02:45,CDT,49.4,P,7.89,P
USGS,08074500,2017-08-24 03:00,CDT,49.4,P,7.89,P
USGS,08074500,2017-08-24 03:15,CDT,48.8,P,7.88,P
USGS,08074500,2017-08-24 03:30,CDT,48.2,P,7.87,P
USGS,08074500,2017-08-24 03:45,CDT,48.2,P,7.87,P
USGS,08074500,2017-08-24 04:00,CDT,48.2,P,7.87,P
USGS,08074500,2017-08-24 04:15,CDT,60.7,P,8.04,P
USGS,08074500,2017-08-24 04:30,CDT,78.8,P,8.22,P
USGS,08074500,2017-08-24 04:45,CDT,82.2,P,8.25,P
USGS,08074500,2017-08-24 05:00,CDT,85.8,P,8.28,P
USGS,08074500,2017-08-24 05:15,CDT,85.8,P,8.28,P
USGS,08074500,2017-08-24 05:30,CDT,74.5,P,8.18,P
USGS,08074500,2017-08-24 05:45,CDT,59.8,P,8.03,P
USGS,08074500,2017-08-24 06:00,CDT,55.0,P,7.97,P
USGS,08074500,2017-08-24 06:15,CDT,52.2,P,7.93,P
USGS,08074500,2017-08-24 06:30,CDT,50.9,P,7.91,P
USGS,08074500,2017-08-24 06:45,CDT,50.2,P,7.90,P
USGS,08074500,2017-08-24 07:00,CDT,52.9,P,7.94,P
USGS,08074500,2017-08-24 07:15,CDT,52.9,P,7.94,P
USGS,08074500,2017-08-24 07:30,CDT,52.9,P,7.94,P
USGS,08074500,2017-08-24 07:45,CDT,50.2,P,7.90,P
USGS,08074500,2017-08-24 08:00,CDT,50.2,P,7.90,P
USGS,08074500,2017-08-24 08:15,CDT,50.3,P,7.90,P
USGS,08074500,2017-08-24 08:30,CDT,49.0,P,7.88,P
USGS,08074500,2017-08-24 08:45,CDT,49.6,P,7.89,P
USGS,08074500,2017-08-24 09:00,CDT,48.4,P,7.87,P
USGS,08074500,2017-08-24 09:15,CDT,47.1,P,7.85,P
USGS,08074500,2017-08-24 09:30,CDT,45.9,P,7.83,P
USGS,08074500,2017-08-24 09:45,CDT,45.3,P,7.82,P
USGS,08074500,2017-08-24 10:00,CDT,44.7,P,7.81,P
USGS,08074500,2017-08-24 10:15,CDT,44.7,P,7.81,P
USGS,08074500,2017-08-24 10:30,CDT,44.8,P,7.81,P
USGS,08074500,2017-08-24 10:45,CDT,43.0,P,7.78,P
USGS,08074500,2017-08-24 11:00,CDT,43.0,P,7.78,P
USGS,08074500,2017-08-24 11:15,CDT,43.0,P,7.78,P
USGS,08074500,2017-08-24 11:30,CDT,47.2,P,7.85,P
USGS,08074500,2017-08-24 11:45,CDT,57.5,P,8.00,P
USGS,08074500,2017-08-24 12:00,CDT,58.4,P,8.01,P
USGS,08074500,2017-08-24 12:15,CDT,52.4,P,7.93,P
USGS,08074500,2017-08-24 12:30,CDT,46.0,P,7.83,P
USGS,08074500,2017-08-24 12:45,CDT,46.6,P,7.84,P
USGS,08074500,2017-08-24 13:00,CDT,46.7,P,7.84,P
USGS,08074500,2017-08-24 13:15,CDT,47.3,P,7.85,P
USGS,08074500,2017-08-24 13:30,CDT,47.3,P,7.85,P
USGS,08074500,2017-08-24 13:45,CDT,47.3,P,7.85,P
USGS,08074500,2017-08-24 14:00,CDT,46.7,P,7.84,P
USGS,08074500,2017-08-24 14:15,CDT,47.3,P,7.85,P
USGS,08074500,2017-08-24 14:30,CDT,47.3,P,7.85,P
USGS,08074500,2017-08-24 14:45,CDT,47.3,P,7.85,P
USGS,08074500,2017-08-24 15:00,CDT,47.3,P,7.85,P
USGS,08074500,2017-08-24 15:15,CDT,44.9,P,7.81,P
USGS,08074500,2017-08-24 15:30,CDT,45.5,P,7.82,P
USGS,08074500,2017-08-24 15:45,CDT,43.8,P,7.79,P
USGS,08074500,2017-08-24 16:00,CDT,45.6,P,7.82,P
USGS,08074500,2017-08-24 16:15,CDT,47.4,P,7.85,P
USGS,08074500,2017-08-24 16:30,CDT,47.4,P,7.85,P
USGS,08074500,2017-08-24 16:45,CDT,48.0,P,7.86,P
USGS,08074500,2017-08-24 17:00,CDT,47.4,P,7.85,P
USGS,08074500,2017-08-24 17:15,CDT,47.4,P,7.85,P
USGS,08074500,2017-08-24 17:30,CDT,46.8,P,7.84,P
USGS,08074500,2017-08-24 17:45,CDT,45.6,P,7.82,P
USGS,08074500,2017-08-24 18:00,CDT,44.4,P,7.80,P
USGS,08074500,2017-08-24 18:15,CDT,43.3,P,7.78,P
USGS,08074500,2017-08-24 18:30,CDT,43.3,P,7.78,P
USGS,08074500,2017-08-24 18:45,CDT,42.7,P,7.77,P
USGS,08074500,2017-08-24 19:00,CDT,41.6,P,7.75,P
USGS,08074500,2017-08-24 19:15,CDT,42.2,P,7.76,P
USGS,08074500,2017-08-24 19:30,CDT,42.2,P,7.76,P
USGS,08074500,2017-08-24 19:45,CDT,42.8,P,7.77,P
USGS,08074500,2017-08-24 20:00,CDT,41.6,P,7.75,P
USGS,08074500,2017-08-24 20:15,CDT,42.8,P,7.77,P
USGS,08074500,2017-08-24 20:30,CDT,42.8,P,7.77,P
USGS,08074500,2017-08-24 20:45,CDT,43.4,P,7.78,P
USGS,08074500,2017-08-24 21:00,CDT,45.1,P,7.81,P
USGS,08074500,2017-08-24 21:15,CDT,46.4,P,7.83,P
USGS,08074500,2017-08-24 21:30,CDT,45.8,P,7.82,P
USGS,08074500,2017-08-24 21:45,CDT,45.2,P,7.81,P
USGS,08074500,2017-08-24 22:00,CDT,46.4,P,7.83,P
USGS,08074500,2017-08-24 22:15,CDT,45.2,P,7.81,P
USGS,08074500,2017-08-24 22:30,CDT,45.8,P,7.82,P
USGS,08074500,2017-08-24 22:45,CDT,45.2,P,7.81,P
USGS,08074500,2017-08-24 23:00,CDT,44.6,P,7.80,P
USGS,08074500,2017-08-24 23:15,CDT,45.8,P,7.82,P
USGS,08074500,2017-08-24 23:30,CDT,45.8,P,7.82,P
USGS,08074500,2017-08-24 23:45,CDT,45.3,P,7.81,P
USGS,08074500,2017-08-25 00:00,CDT,46.5,P,7.83,P
USGS,08074500,2017-08-25 00:15,CDT,47.7,P,7.85,P
USGS,08074500,2017-08-25 00:30,CDT,49.0,P,7.87,P
USGS,08074500,2017-08-25 00:45,CDT,47.7,P,7.85,P
USGS,08074500,2017-08-25 01:00,CDT,46.5,P,7.83,P
USGS,08074500,2017-08-25 01:15,CDT,47.7,P,7.85,P
USGS,08074500,2017-08-25 01:30,CDT,47.1,P,7.84,P
USGS,08074500,2017-08-25 01:45,CDT,47.8,P,7.85,P
USGS,08074500,2017-08-25 02:00,CDT,46.9,P,7.85,P
USGS,08074500,2017-08-25 02:15,CDT,46.9,P,7.85,P
USGS,08074500,2017-08-25 02:30,CDT,48.1,P,7.87,P
USGS,08074500,2017-08-25 02:45,CDT,48.2,P,7.87,P
USGS,08074500,2017-08-25 03:00,CDT,48.2,P,7.87,P
USGS,08074500,2017-08-25 03:15,CDT,48.2,P,7.87,P
USGS,08074500,2017-08-25 03:30,CDT,46.4,P,7.84,P
USGS,08074500,2017-08-25 03:45,CDT,46.4,P,7.84,P
USGS,08074500,2017-08-25 04:00,CDT,46.4,P,7.84,P
USGS,08074500,2017-08-25 04:15,CDT,46.5,P,7.84,P
USGS,08074500,2017-08-25 04:30,CDT,46.5,P,7.84,P
USGS,08074500,2017-08-25 04:45,CDT,44.7,P,7.81,P
USGS,08074500,2017-08-25 05:00,CDT,45.3,P,7.82,P
USGS,08074500,2017-08-25 05:15,CDT,46.0,P,7.83,P
USGS,08074500,2017-08-25 05:30,CDT,44.8,P,7.81,P
USGS,08074500,2017-08-25 05:45,CDT,45.4,P,7.82,P
USGS,08074500,2017-08-25 06:00,CDT,43.7,P,7.79,P
USGS,08074500,2017-08-25 06:15,CDT,43.1,P,7.78,P
USGS,08074500,2017-08-25 06:30,CDT,45.5,P,7.82,P
USGS,08074500,2017-08-25 06:45,CDT,42.6,P,7.77,P
USGS,08074500,2017-08-25 07:00,CDT,43.8,P,7.79,P
USGS,08074500,2017-08-25 07:15,CDT,42.6,P,7.77,P
USGS,08074500,2017-08-25 07:30,CDT,43.2,P,7.78,P
USGS,08074500,2017-08-25 07:45,CDT,43.3,P,7.78,P
USGS,08074500,2017-08-25 08:00,CDT,44.4,P,7.80,P
USGS,08074500,2017-08-25 08:15,CDT,54.9,P,7.96,P
USGS,08074500,2017-08-25 08:30,CDT,67.3,P,8.10,P
USGS,08074500,2017-08-25 08:45,CDT,80.0,P,8.22,P
USGS,08074500,2017-08-25 09:00,CDT,93.1,P,8.32,P
USGS,08074500,2017-08-25 09:15,CDT,105,P,8.39,P
USGS,08074500,2017-08-25 09:30,CDT,119,P,8.45,P
USGS,08074500,2017-08-25 09:45,CDT,122,P,8.46,P
USGS,08074500,2017-08-25 10:00,CDT,134,P,8.53,P
USGS,08074500,2017-08-25 10:15,CDT,138,P,8.55,P
USGS,08074500,2017-08-25 10:30,CDT,159,P,8.67,P
USGS,08074500,2017-08-25 10:45,CDT,166,P,8.72,P
USGS,08074500,2017-08-25 11:00,CDT,181,P,8.83,P
USGS,08074500,2017-08-25 11:15,CDT,177,P,8.80,P
USGS,08074500,2017-08-25 11:30,CDT,184,P,8.85,P
USGS,08074500,2017-08-25 11:45,CDT,194,P,8.92,P
USGS,08074500,2017-08-25 12:00,CDT,196,P,8.93,P
USGS,08074500,2017-08-25 12:15,CDT,196,P,8.93,P
USGS,08074500,2017-08-25 12:30,CDT,198,P,8.95,P
USGS,08074500,2017-08-25 12:45,CDT,198,P,8.95,P
USGS,08074500,2017-08-25 13:00,CDT,187,P,8.87,P
USGS,08074500,2017-08-25 13:15,CDT,196,P,8.93,P
USGS,08074500,2017-08-25 13:30,CDT,203,P,9.00,P
USGS,08074500,2017-08-25 13:45,CDT,213,P,9.09,P
USGS,08074500,2017-08-25 14:00,CDT,206,P,9.03,P
USGS,08074500,2017-08-25 14:15,CDT,225,P,9.20,P
USGS,08074500,2017-08-25 14:30,CDT,223,P,9.18,P
USGS,08074500,2017-08-25 14:45,CDT,212,P,9.08,P
USGS,08074500,2017-08-25 15:00,CDT,219,P,9.15,P
USGS,08074500,2017-08-25 15:15,CDT,228,P,9.23,P
USGS,08074500,2017-08-25 15:30,CDT,242,P,9.35,P
USGS,08074500,2017-08-25 15:45,CDT,252,P,9.44,P
USGS,08074500,2017-08-25 16:00,CDT,259,P,9.50,P
USGS,08074500,2017-08-25 16:15,CDT,272,P,9.60,P
USGS,08074500,2017-08-25 16:30,CDT,274,P,9.61,P
USGS,08074500,2017-08-25 16:45,CDT,275,P,9.62,P
USGS,08074500,2017-08-25 17:00,CDT,279,P,9.65,P
USGS,08074500,2017-08-25 17:15,CDT,283,P,9.68,P
USGS,08074500,2017-08-25 17:30,CDT,287,P,9.71,P
USGS,08074500,2017-08-25 17:45,CDT,282,P,9.67,P
USGS,08074500,2017-08-25 18:00,CDT,283,P,9.68,P
USGS,08074500,2017-08-25 18:15,CDT,282,P,9.67,P
USGS,08074500,2017-08-25 18:30,CDT,281,P,9.66,P
USGS,08074500,2017-08-25 18:45,CDT,278,P,9.64,P
USGS,08074500,2017-08-25 19:00,CDT,275,P,9.62,P
USGS,08074500,2017-08-25 19:15,CDT,277,P,9.63,P
USGS,08074500,2017-08-25 19:30,CDT,273,P,9.60,P
USGS,08074500,2017-08-25 19:45,CDT,273,P,9.60,P
USGS,08074500,2017-08-25 20:00,CDT,266,P,9.55,P
USGS,08074500,2017-08-25 20:15,CDT,264,P,9.53,P
USGS,08074500,2017-08-25 20:30,CDT,263,P,9.52,P
USGS,08074500,2017-08-25 20:45,CDT,260,P,9.50,P
USGS,08074500,2017-08-25 21:00,CDT,256,P,9.46,P
USGS,08074500,2017-08-25 21:15,CDT,251,P,9.42,P
USGS,08074500,2017-08-25 21:30,CDT,252,P,9.43,P
USGS,08074500,2017-08-25 21:45,CDT,257,P,9.47,P
USGS,08074500,2017-08-25 22:00,CDT,262,P,9.51,P
USGS,08074500,2017-08-25 22:15,CDT,266,P,9.54,P
USGS,08074500,2017-08-25 22:30,CDT,275,P,9.61,P
USGS,08074500,2017-08-25 22:45,CDT,287,P,9.70,P
USGS,08074500,2017-08-25 23:00,CDT,302,P,9.81,P
USGS,08074500,2017-08-25 23:15,CDT,322,P,9.95,P
USGS,08074500,2017-08-25 23:30,CDT,380,P,10.34,P
USGS,08074500,2017-08-25 23:45,CDT,370,P,10.27,P
USGS,08074500,2017-08-26 00:00,CDT,385,P,10.37,P
USGS,08074500,2017-08-26 00:15,CDT,385,P,10.37,P
USGS,08074500,2017-08-26 00:30,CDT,395,P,10.43,P
USGS,08074500,2017-08-26 00:45,CDT,397,P,10.44,P
USGS,08074500,2017-08-26 01:00,CDT,397,P,10.44,P
USGS,08074500,2017-08-26 01:15,CDT,382,P,10.35,P
USGS,08074500,2017-08-26 01:30,CDT,376,P,10.31,P
USGS,08074500,2017-08-26 01:45,CDT,353,P,10.16,P
USGS,08074500,2017-08-26 02:00,CDT,336,P,10.04,P
USGS,08074500,2017-08-26 02:15,CDT,327,P,9.98,P
USGS,08074500,2017-08-26 02:30,CDT,321,P,9.94,P
USGS,08074500,2017-08-26 02:45,CDT,314,P,9.89,P
USGS,08074500,2017-08-26 03:00,CDT,307,P,9.84,P
USGS,08074500,2017-08-26 03:15,CDT,311,P,9.87,P
USGS,08074500,2017-08-26 03:30,CDT,314,P,9.89,P
USGS,08074500,2017-08-26 03:45,CDT,317,P,9.91,P
USGS,08074500,2017-08-26 04:00,CDT,343,P,10.09,P
USGS,08074500,2017-08-26 04:15,CDT,402,P,10.47,P
USGS,08074500,2017-08-26 04:30,CDT,399,P,10.45,P
USGS,08074500,2017-08-26 04:45,CDT,425,P,10.61,P
USGS,08074500,2017-08-26 05:00,CDT,530,P,11.20,P
USGS,08074500,2017-08-26 05:15,CDT,638,P,11.75,P
USGS,08074500,2017-08-26 05:30,CDT,716,P,12.11,P
USGS,08074500,2017-08-26 05:45,CDT,772,P,12.36,P
USGS,08074500,2017-08-26 06:00,CDT,807,P,12.51,P
USGS,08074500,2017-08-26 06:15,CDT,890,P,12.85,P
USGS,08074500,2017-08-26 06:30,CDT,1000,P,13.29,P
USGS,08074500,2017-08-26 06:45,CDT,1340,P,14.41,P
USGS,08074500,2017-08-26 07:00,CDT,2040,P,16.34,P
USGS,08074500,2017-08-26 07:15,CDT,3590,P,19.53,P
USGS,08074500,2017-08-26 07:30,CDT,4920,P,21.69,P
USGS,08074500,2017-08-26 07:45,CDT,5770,P,22.90,P
USGS,08074500,2017-08-26 08:00,CDT,6100,P,23.35,P
USGS,08074500,2017-08-26 08:15,CDT,6090,P,23.33,P
USGS,08074500,2017-08-26 08:30,CDT,6190,P,23.47,P
USGS,08074500,2017-08-26 08:45,CDT,6330,P,23.65,P
USGS,08074500,2017-08-26 09:00,CDT,6410,P,23.75,P
USGS,08074500,2017-08-26 09:15,CDT,6410,P,23.75,P
USGS,08074500,2017-08-26 09:30,CDT,6270,P,23.57,P
USGS,08074500,2017-08-26 09:45,CDT,6040,P,23.27,P
USGS,08074500,2017-08-26 10:00,CDT,5850,P,23.01,P
USGS,08074500,2017-08-26 10:15,CDT,5730,P,22.85,P
USGS,08074500,2017-08-26 10:30,CDT,5550,P,22.60,P
USGS,08074500,2017-08-26 10:45,CDT,5160,P,22.05,P
USGS,08074500,2017-08-26 11:00,CDT,5100,P,21.96,P
USGS,08074500,2017-08-26 11:15,CDT,4850,P,21.59,P
USGS,08074500,2017-08-26 11:30,CDT,4600,P,21.21,P
USGS,08074500,2017-08-26 11:45,CDT,4380,P,20.87,P
USGS,08074500,2017-08-26 12:00,CDT,4290,P,20.72,P
USGS,08074500,2017-08-26 12:15,CDT,4080,P,20.38,P
USGS,08074500,2017-08-26 12:30,CDT,3910,P,20.10,P
USGS,08074500,2017-08-26 12:45,CDT,3790,P,19.88,P
USGS,08074500,2017-08-26 13:00,CDT,3610,P,19.57,P
USGS,08074500,2017-08-26 13:15,CDT,3530,P,19.43,P
USGS,08074500,2017-08-26 13:30,CDT,3330,P,19.06,P
USGS,08074500,2017-08-26 13:45,CDT,3210,P,18.84,P
USGS,08074500,2017-08-26 14:00,CDT,3010,P,18.45,P
USGS,08074500,2017-08-26 14:15,CDT,2840,P,18.12,P
USGS,08074500,2017-08-26 14:30,CDT,2780,P,17.99,P
USGS,08074500,2017-08-26 14:45,CDT,2590,P,17.60,P
USGS,08074500,2017-08-26 15:00,CDT,2360,P,17.09,P
USGS,08074500,2017-08-26 15:15,CDT,2270,P,16.89,P
USGS,08074500,2017-08-26 15:30,CDT,2100,P,16.48,P
USGS,08074500,2017-08-26 15:45,CDT,2000,P,16.25,P
USGS,08074500,2017-08-26 16:00,CDT,1880,P,15.94,P
USGS,08074500,2017-08-26 16:15,CDT,1780,P,15.67,P
USGS,08074500,2017-08-26 16:30,CDT,1660,P,15.35,P
USGS,08074500,2017-08-26 16:45,CDT,1560,P,15.07,P
USGS,08074500,2017-08-26 17:00,CDT,1480,P,14.86,P
USGS,08074500,2017-08-26 17:15,CDT,1430,P,14.71,P
USGS,08074500,2017-08-26 17:30,CDT,1330,P,14.39,P
USGS,08074500,2017-08-26 17:45,CDT,1280,P,14.22,P
USGS,08074500,2017-08-26 18:00,CDT,1240,P,14.09,P
USGS,08074500,2017-08-26 18:15,CDT,1180,P,13.91,P
USGS,08074500,2017-08-26 18:30,CDT,1140,P,13.78,P
USGS,08074500,2017-08-26 18:45,CDT,1090,P,13.59,P
USGS,08074500,2017-08-26 19:00,CDT,1050,P,13.46,P
USGS,08074500,2017-08-26 19:15,CDT,1010,P,13.32,P
USGS,08074500,2017-08-26 19:30,CDT,977,P,13.18,P
USGS,08074500,2017-08-26 19:45,CDT,969,P,13.15,P
USGS,08074500,2017-08-26 20:00,CDT,941,P,13.04,P
USGS,08074500,2017-08-26 20:15,CDT,928,P,12.99,P
USGS,08074500,2017-08-26 20:30,CDT,961,P,13.12,P
USGS,08074500,2017-08-26 20:45,CDT,1020,P,13.36,P
USGS,08074500,2017-08-26 21:00,CDT,1160,P,13.82,P
USGS,08074500,2017-08-26 21:15,CDT,1430,P,14.70,P
USGS,08074500,2017-08-26 21:30,CDT,2100,P,16.48,P
USGS,08074500,2017-08-26 21:45,CDT,3820,P,19.93,P
USGS,08074500,2017-08-26 22:00,CDT,6270,P,23.57,P
USGS,08074500,2017-08-26 22:15,CDT,8460,P,26.17,P
USGS,08074500,2017-08-26 22:30,CDT,10400,P,28.16,P
USGS,08074500,2017-08-26 22:45,CDT,11800,P,29.48,P
USGS,08074500,2017-08-26 23:00,CDT,12800,P,30.29,P
USGS,08074500,2017-08-26 23:15,CDT,14100,P,31.39,P
USGS,08074500,2017-08-26 23:30,CDT,14900,P,32.01,P
USGS,08074500,2017-08-26 23:45,CDT,15400,P,32.36,P
USGS,08074500,2017-08-27 00:00,CDT,17100,P,33.48,P
USGS,08074500,2017-08-27 00:15,CDT,17600,P,33.78,P
USGS,08074500,2017-08-27 00:30,CDT,18300,P,34.22,P
USGS,08074500,2017-08-27 00:45,CDT,18900,P,34.58,P
USGS,08074500,2017-08-27 01:00,CDT,20300,P,35.32,P
USGS,08074500,2017-08-27 01:15,CDT,21700,P,35.98,P
USGS,08074500,2017-08-27 01:30,CDT,22500,P,36.35,P
USGS,08074500,2017-08-27 01:45,CDT,23100,P,36.65,P
USGS,08074500,2017-08-27 02:00,CDT,23700,P,36.92,P
USGS,08074500,2017-08-27 02:15,CDT,24100,P,37.09,P
USGS,08074500,2017-08-27 02:30,CDT,24400,P,37.21,P
USGS,08074500,2017-08-27 02:45,CDT,24800,P,37.38,P
USGS,08074500,2017-08-27 03:00,CDT,25000,P,37.46,P
USGS,08074500,2017-08-27 03:15,CDT,25100,P,37.51,P
USGS,08074500,2017-08-27 03:30,CDT,25500,P,37.64,P
USGS,08074500,2017-08-27 03:45,CDT,25700,P,37.74,P
USGS,08074500,2017-08-27 04:00,CDT,26400,P,38.00,P
USGS,08074500,2017-08-27 04:15,CDT,27000,P,38.21,P
USGS,08074500,2017-08-27 04:30,CDT,28000,P,38.60,P
USGS,08074500,2017-08-27 04:45,CDT,28800,P,38.89,P
